Id,Opcja,Kariera,Zdrowie,Pieniądze,Relacje,Wynik,https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
1,"Czekam na wizytę u lekarza na NFZ",,,,"","To była grypa, oszczędziłeś pieniądze",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
2,"Idę do prywatnego lekarza, ze zdrowiem nie ma żartów",,,-5,,"To była grypa, straciłeś pieniądze",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
3,"Czekam na karetkę i jadę do szpitala publicznego (NFZ)",,-5,,,"Przez opóźnienie pogorszył się stan zdrowia",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
4,"Jadę taksówką prywatnie na SOR / do prywatnej kliniki",,5,-5,,"Szybka reakcja, szybciej wracasz do zdrowia",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
5,"Wolę nie ryzykować",,,,,"Nic nie zyskujesz, nic nie tracisz",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
6,"Kto nie ryzykuje, ten nie pije szampana!",,,15,,"Startup wypalił – gratulacje, jesteś bogatszy!",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
7,"Rezygnuję, może innym razem",,,,-5,"Oszczędzasz, ale czujesz się samotny",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
8,"Czemu nie! Kocham pieski",,5,-5,5,"Na spacerze poznajesz wielu nowych znajomych",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
9,"Mam tutaj bliskich, nie chcę wyjeżdżać",-5,,,10,"Zostajesz blisko rodziny, choć bez większego rozwoju zawodowego",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
10,"Wyjeżdżam, to jedyna taka okazja w życiu",15,,15,-5,"Zdobywasz nowe doświadczenie i wysokie zarobki, ale tracisz kontakt z bliskimi",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
